label,study_and_condition
__label__1,study interventions are Capecitabine . malignant neoplasms of ill defined secondary and unspecified sites diagnosis and requirement for chronic use of full dose aspirin or non steroidal anti inflammatory drugs nsaids
__label__0,"study interventions are Antibodies, Monoclonal . stage iii grade two follicular lymphoma diagnosis and ability to understand and the willingness to sign written informed consent all patients must have signed witnessed informed consent prior to registration"
__label__1,study interventions are Liver Extracts . liver cancer diagnosis and prior chemotherapy
__label__1,study interventions are Immunoglobulin G . grade iii meningioma diagnosis and patients with active implanted medical device skull defect such as missing bone with no replacement shunt or bullet fragments examples of active electronic devices include deep brain stimulators spinal cord stimulators vagus nerve stimulators pacemakers defibrillators and programmable shunts
__label__1,study interventions are Fludarabine . recurrent grade three follicular lymphoma diagnosis and patients with diagnosis of chronic myelomonocytic leukemia cmml
__label__1,study interventions are Bevacizumab . colorectal adenocarcinoma diagnosis and history of myocardial infarction unstable angina cardiac or other vascular stenting angioplasty or surgery within six months prior to study enrollment
__label__1,study interventions are Camptothecin . metastatic colorectal cancer diagnosis and any history of or currently known brain metastases
__label__1,study interventions are Docetaxel . stage iv prostate cancer diagnosis and subjects must not have received chemotherapy biologic therapy or any other investigational drug for any reason within twenty-eight days prior to start of therapy and must have recovered from toxicities of prior therapy to grade one or less with the exception of alopecia
__label__0,study interventions are Cisplatin . carcinoma of larynx diagnosis and oropharynx hpv positive and hpv negative hypopharynx larynx primaries nasopharynx as well as those with documented scc of the cervical lymph nodes with unknown primaries
__label__1,study interventions are Kanamycin . colorectal neoplasms diagnosis and steroid administration before surgery
__label__1,study interventions are Isophosphamide mustard . non hodgkin lymphoma diagnosis and patient has received other investigational drugs or cytotoxic chemotherapy within fourteen days of enrollment
__label__0,study interventions are Trastuzumab . breast cancer diagnosis and platelet greater_than one hundred zero mmthree
__label__0,study interventions are Liposomal doxorubicin . breast cancer diagnosis and sentinel node biopsy negative for metastasis sentinel node biopsy positive allowed if enrolled on american college of surgery trial zeleven and have beenrandomized to receive no axillary dissection
__label__1,study interventions are Bevacizumab . primary brain tumor diagnosis and coagulation disorder
__label__0,study interventions are Electrochemotherapy . histological confirmed breast cancer
__label__0,study interventions are Isophosphamide mustard . childhood diffuse large cell lymphoma diagnosis and no other concurrent immunomodulating agents
__label__1,study interventions are Sirolimus . recurrent digestive system neuroendocrine tumor gone diagnosis and unresolved toxicities from prior systemic therapy that are common terminology criteria for adverse events ctcae version doc greater_than equal_than grade two in severity except alopecia
__label__0,study interventions are Methotrexate . recurrent childhood large cell lymphoma diagnosis and subjects must be ineligible for or unable to receive conventional myeloablative transplantation
__label__0,study interventions are Antibodies . stage iiib ovarian cancer diagnosis and primary surgery patients
__label__0,study interventions are Fludarabine phosphate . lymphoma diagnosis and disease characteristics
__label__0,study interventions are Fluorouracil . recurrent squamous cell carcinoma of the paranasal sinus and nasal cavity diagnosis and no non healing wounds within the past four weeks
__label__0,study interventions are Paclitaxel . histologically confirmed invasive mammary carcinoma
__label__0,study interventions are Docetaxel . recurrent non small cell lung cancer diagnosis and fertile patients must use effective contraception
__label__0,study interventions are Carboplatin . recurrent anal cancer diagnosis and written signed informed consent the patient must be aware that his her disease is neoplastic in nature and willingly consent after being informed of the procedure to be followed the experimental nature of the therapy alternatives potential benefits side effects risks and discomforts
__label__0,study interventions are K-001 . pancreatic cancer diagnosis and eighty one hundred and nine l
__label__1,study interventions are Bortezomib . multiple myeloma in relapse diagnosis and patients may be receiving concomitant therapy with bisphosphonates and low dose corticosteroids prednisone up to but no more than ten mg or its equivalent for symptom management and comorbid conditions
__label__0,study interventions are Prednisolone . lymphoma diagnosis and gonadal involvement
__label__1,study interventions are Vaccines . nasopharyngeal carcinoma diagnosis and autoimmune disease such as systemic lupus erythematosis or rheumatoid arthritis that is active and requires current immunosuppressive therapy
__label__1,study interventions are Anti-Bacterial Agents . peri ampullary cancer diagnosis and patients with allergy to beta lactam
__label__0,study interventions are Laboratory Biomarker Analysis . recurrent adrenal cortex carcinoma diagnosis and six to less_than ten years of age
__label__0,study interventions are Docetaxel . stage iv squamous cell carcinoma of the hypopharynx diagnosis and no more than one prior chemotherapy regimen for metastatic disease
__label__1,study interventions are Trastuzumab . breast cancer diagnosis and incapacity or refusal to provide informed consent
__label__1,study interventions are Epirubicin . non glandular breast cancers
__label__0,study interventions are Cyclophosphamide . contiguous stage ii adult diffuse small cleaved cell lymphoma diagnosis and serum glutamic oxaloacetic transaminase sgot less_than two times the normal or clearance by ccf physician
__label__0,study interventions are Asparaginase . refractory lymphoblastic lymphoma diagnosis and note
__label__1,"study interventions are Antibodies, Monoclonal . recurrent small lymphocytic lymphoma diagnosis and karnofsky score less_than seventy for adult patients"
__label__1,study interventions are Interleukin-2 . prior systemic treatment one prior systemic treatment is allowed for metastatic melanoma patients
__label__0,study interventions are Angiogenesis Inhibitors . lung cancer diagnosis and
__label__0,study interventions are Carboplatin . prior temozolomide or carboplatin as frontline therapy or in the adjuvant setting allowed provided patient did not experience severe toxicities related to the drug and tumor progressed during this therapy
__label__0,study interventions are Mycophenolic Acid . multiple myeloma diagnosis and doc
__label__1,study interventions are Mitomycin . advanced cancer of the esophagogastric junction diagnosis and history of hypersensitivity to any of the study drugs or to drugs with similar chemical structures
__label__1,study interventions are Panobinostat . high grade meningioma diagnosis and the subject has received prior course of radiation therapy within the target volume to be treated as part of this protocol aside from whole brain radiation
__label__0,"study interventions are Antibodies, Monoclonal . testicular lymphoma diagnosis and platelet count greater_than equal_than one hundred zero mm three transfusion independent defined as not receiving platelet transfusions for at least seven days prior to enrollment"
__label__1,study interventions are TroVax . prostatic neoplasms diagnosis and known allergy to egg proteins
__label__0,study interventions are Busulfan . kidney cancer diagnosis and previously treated leptomeningeal disease allowed provided csf cytology is negative at the time of assessment for transplantation
__label__0,study interventions are Fluorouracil . metastatic pancreatic adenocarcinoma diagnosis and serum albumin greater_than equal_than three dl
__label__1,study interventions are Rituximab . cancers that are inactive that are being treated with hormonal therapy
__label__0,study interventions are Fluorodeoxyglucose F18 . lymphoma diagnosis and ast less_than two times upper limit of normal
__label__0,study interventions are Etoposide . stage iiib non small cell lung cancer diagnosis and women of child bearing potential wocbp must have negative pregnancy test within fourteen days of registration urine human gonadotropin hcg is an acceptable pregnancy assessment
__label__1,study interventions are Mycophenolate mofetil . recurrent adult grade iii lymphomatoid granulomatosis diagnosis and donor
__label__1,study interventions are Gefitinib . recurrent gastrointestinal carcinoid tumor diagnosis and psychiatric illness social situation that would limit compliance with study requirement
__label__0,study interventions are Rituximab . stage iv adult diffuse small cleaved cell lymphoma diagnosis and two below
__label__1,study interventions are Bevacizumab . recurrent adult brain tumor diagnosis and no clinically significant cardiovascular disease including any of the following
__label__1,study interventions are Erlotinib Hydrochloride . lung cancer diagnosis and history of corneal disease
__label__0,"study interventions are Antibodies, Monoclonal . recurrent inflammatory breast carcinoma diagnosis and has not undergone hysterectomy or bilateral oophorectomy"
__label__0,study interventions are Antibodies . endometrial papillary serous carcinoma diagnosis and creatinine ratio less_than doc or urine protein less_than one zero mg on twenty-four hour urine collection
__label__1,study interventions are allogeneic donor derived B-lymphocytes . multiple myeloma diagnosis and severe acute graft versus host disease gvhd glucksberg grade iii und iv
__label__1,study interventions are Bevacizumab . anaplastic oligo astrocytoma aoa diagnosis and craniotomy wound that has not sufficiently healed
__label__1,study interventions are Cyclosporins . recurrent adult diffuse small cleaved cell lymphoma diagnosis and patients with rapidly progressive aggressive nhl unless in minimal disease state
__label__1,study interventions are Entinostat . stage iiia breast cancer diagnosis and patients are permitted to enroll if they have vitiligo type diabetes mellitus residual hypothyroidism due to autoimmune condition only requiring hormone replacement psoriasis not requiring systemic treatment or conditions not expected to recur in the absence of an external trigger_precipitating event
__label__0,study interventions are Citric Acid . lymphoplasmacytic lymphoma diagnosis and fl criteria for diagnosis
__label__1,"study interventions are Antibodies, Monoclonal . multiple myeloma diagnosis and subjects with psoriasis not requiring systemic treatment"
__label__1,study interventions are Levoleucovorin . stage iiib gallbladder cancer diagnosis and patients with any polymorphism in ugtoneaone other than one or twenty-eight
__label__1,study interventions are Poly ICLC . recurrent pediatric low grade glioma diagnosis and interleukins proleukin
__label__1,study interventions are Melphalan . multiple myeloma diagnosis and patients who have had previous malignancy that is not in remission
__label__1,study interventions are E7777 . cutaneous cell lymphoma diagnosis and participant with serious complications or histories
__label__1,study interventions are Hydroxychloroquine . colorectal cancer diagnosis and qtc greater_than five hundred ms at baseline average of three determinations at ten minutes interval
__label__0,study interventions are Pemetrexed . rhabdomyosarcoma diagnosis and eastern cooperative oncology group ecog performance zero one two
__label__1,study interventions are Bendamustine Hydrochloride . multiple myeloma diagnosis and individuals unable to provide informed consent
__label__0,"study interventions are Antibodies, Monoclonal . stage ivb verrucous carcinoma of the larynx diagnosis and potassium within normal limits for the institution"
__label__1,study interventions are Bevacizumab . anaplastic oligodendroglioma diagnosis and concurrent use of other standard chemotherapeutics or investigative agents or vasoconstrictors for the treatment of migraine ergotamine zolmitriptan sumatriptan because of the potential for exacerbation of coronary vasoconstriction
__label__0,study interventions are Carboplatin . neuroblastoma diagnosis and patient is less than or equal to eighteen years of age
__label__1,study interventions are Botulinum Toxins . breast neoplasms diagnosis and patients who are pregnant
__label__1,study interventions are Medical Acupuncture . gastrointestinal neoplasms diagnosis and scheduled to receive rt for period of less than four weeks
__label__1,study interventions are Cetuximab . recurrent gastric cancer diagnosis and major surgery or significant traumatic injury occurring within twenty-one days prior to treatment
__label__0,study interventions are Everolimus . tufted_angioma diagnosis and prior therapy requirements
__label__1,study interventions are Best Supportive Care . carcinoma hepatocellular diagnosis and patients who took thalidomide for no more than less_than equal_than three days before enrolment
__label__0,study interventions are Doxorubicin . coldrhood cancer diagnosis and lifetime cumulative dose of anthracycline
__label__0,study interventions are Sirolimus . cancer diagnosis and bone marrow function anc greater_than one five hundred ul platelet greater_than one00 zero ul hb greater_than doc dl
__label__0,study interventions are Compliance Monitoring . ovarian endometrioid adenocarcinoma diagnosis and patients with the following histologic epithelial cell types are eligible
__label__1,study interventions are Vincristine . solid tumors diagnosis and treatment with non approved or investigational drug within thirty days before day one of trial treatment
__label__1,study interventions are Godin Leisure Time Exercise Questionnaire (GLTEQ) . prostate cancer diagnosis and pregnancy confirmed or suspected
__label__1,study interventions are Bevacizumab . desmoplastic small round cell tumor dsrct diagnosis and pregnant or breastfeeding females
__label__0,study interventions are Fluorouracil . mucinous adenocarcinoma of the colon diagnosis and must have available tissue for immunohistochemical analysis
__label__0,study interventions are Diphosphonates . hereditary breast ovarian cancer brcaone brcatwo diagnosis and more than onetwo months since prior and no concurrent systemic corticosteroids
__label__0,study interventions are Cisplatin . gastrointestinal carcinoid tumor diagnosis and no other concurrent chemotherapy for this condition
__label__0,study interventions are surgery . metastatic cancer diagnosis and eligible for treatment with gamma_knife or linear_accelerator based radiosurgery
__label__0,study interventions are Tocopherols . breast cancer diagnosis and normal kidney function
__label__0,study interventions are Bryostatin 1 . stage iv gastric cancer diagnosis and no prior chemotherapy
__label__0,study interventions are Formoterol Fumarate . lung cancer diagnosis and patient characteristics
__label__0,study interventions are Sirolimus . stage iiia breast cancer diagnosis and women of child bearing potential defined as sexually mature women who have not undergone hysterectomy or who have not been naturally postmenopausal for at least twelve consecutive months who has had menses any time in the preceding twelve consecutive months must have negative serum pregnancy test equal_than less_than fourteen days prior to registration and must use two forms of highly effective contraception also applicable to their partners who are biologically able to conceive
__label__0,"study interventions are Antibodies, Monoclonal . international prognostic index ipi or follicular lymphoma ipi flipi of three or more"
__label__1,study interventions are Romidepsin . extranodal marginal zone cell lymphoma of mucosa associated lymphoid tissue diagnosis and men or women of childbearing potential who are unwilling to employ adequate contraception
__label__0,study interventions are Mycophenolic Acid . recurrent childhood grade iii lymphomatoid granulomatosis diagnosis and patient who refused to be treated on conventional hct protocol for this inclusion criterion transplants must be approved by both the participating institution patient review committee such as the patient care conference pcc at the fhcrc and the fhcrc principal investigators
__label__0,"study interventions are Antibodies, Monoclonal . tongue carcinoma diagnosis and including cetuximab panitumumab or investigational egfr directed monoclonal antibodies will be allowed in the phase dose escalation patients who have received monoclonal antibody therapy must be off all monoclonal antibodies four weeks twenty-eight days prior to study treatment no chemotherapy within twenty-eight days of trial medication"
__label__0,study interventions are Prednisone . prostate cancer diagnosis and serum testosterone levels less_than fifty ng dl documented in non surgically castrated patients within twenty-one days prior to randomization
__label__1,study interventions are Vorinostat . recurrent squamous cell carcinoma of the nasopharynx diagnosis and history of allergic reactions attributed to compounds of similar chemical or biologic composition to the study agents used in study including hypersensitivity to paclitaxel cremophor or platins
__label__0,study interventions are Progesterone . stage iv breast cancer diagnosis and patients must be post menopausal
__label__0,study interventions are Bevacizumab . stage iiib fallopian tube cancer diagnosis and four weeks from an investigational agent not food and drug administration fda approved or five half lives whichever is shorter
__label__1,study interventions are Carmustine . stage iv grade three follicular lymphoma diagnosis and patient has greater_than grade two peripheral neuropathy within fourteen days before enrollment
__label__0,study interventions are Levoleucovorin . colorectal cancer diagnosis and candidate for systemic therapy in the opinion of the primary oncologist
__label__1,study interventions are Albumin-Bound Paclitaxel . non melanomatous skin cancer if adequately treated
__label__1,study interventions are Maitake mushroom extract compound . lung neoplasms diagnosis and allergic to text drug
__label__1,study interventions are Prednisolone acetate . myeloma diagnosis and patients receiving any other investigational agent s
__label__0,study interventions are laboratory biomarker analysis . stage iii squamous cell carcinoma of the larynx diagnosis and no congenital long qt syndrome
__label__1,study interventions are Immunoglobulins . stage iva nasal cavity and paranasal sinus squamous cell carcinoma diagnosis and patients who have had chemotherapy or radiotherapy within two weeks six weeks for nitrosoureas or mitomycin prior to entering the study or those who have not recovered from adverse events due to agents administered more than two weeks earlier
__label__0,study interventions are Celecoxib . recurrent bladder cancer diagnosis and additional induction courses of bcg allowed
__label__1,study interventions are Immunoglobulins . melanoma skin diagnosis and underlying medical condition eg condition associated with diarrhea that in the investigator opinion would make the administration of either study drug or both study drugs hazardous to the patient or obscure the interpretation of toxicity determination or adverse events
__label__0,study interventions are Doxorubicin . breast cancer diagnosis and marginal borderline etc
__label__0,study interventions are Belinostat . stage iii cutaneous cell non hodgkin lymphoma diagnosis and toxicity
__label__1,study interventions are Liposomal doxorubicin . urethral cancer diagnosis and female subject is pregnant or breast feeding
__label__0,study interventions are Liposomal doxorubicin . ovarian cancer diagnosis and life expectancy greater_than three months
__label__0,study interventions are Immunoglobulin G . adult anaplastic astrocytoma diagnosis and platelet count greater_than equal_than one hundred zero mm three
__label__1,study interventions are Mitogens . stage iiib breast cancer diagnosis and adverse events related to trastuzumab murine proteins or any of the excipients that resulted in trastuzumab being permanently discontinued
__label__1,study interventions are Lenalidomide . multiple myeloma diagnosis and poems syndrome
__label__1,study interventions are Fludarabine phosphate . recurrent refractory childhood hodgkin lymphoma diagnosis and adult
__label__0,study interventions are recombinant albumin fusion protein sEphB4-HSA . patients with hepatocellular carcinoma do not need to have histologic confirmation of disease as long as they meet the radiologic criteria for diagnosis of hcc evidence of arterial phase enhancement with corresponding venous or delayed phase wash out
__label__0,study interventions are Capecitabine . stage iva hypopharyngeal squamous cell carcinoma diagnosis and eligibility of patients receiving any medications or substances known to affect or with the potential to affect the activity of vorinostat will be determined following review of their case by the principal investigator
__label__0,study interventions are holmium Ho 166 DOTMP . metastatic cancer diagnosis and no more than three prior systemic chemotherapy regimens
__label__1,study interventions are laboratory biomarker analysis . stage iii squamous cell carcinoma of the larynx diagnosis and evidence of distant metastases below the clavicle by clinical or radiographic measures
__label__0,study interventions are Etoposide . aids related immunoblastic large cell lymphoma diagnosis and kps greater_than equal_than fifty ecog ps zero one or two
__label__1,study interventions are brivanib . transitional cell carcinoma diagnosis and other concurrent chemotherapy hormonal therapy immunotherapy regimens or radiotherapy standard or investigational
__label__1,study interventions are Selenium . stage iii squamous cell carcinoma of the hypopharynx diagnosis and known to be positive for hepatitis or human immunodeficiency virus hiv
__label__1,study interventions are Bevacizumab . splenic marginal zone lymphoma diagnosis and patients with clinically significant cardiovascular disease
__label__0,study interventions are Prednisone . metastatic androgen independent prostate cancer diagnosis and one prior non taxane chemotherapy allowed
__label__1,study interventions are Cytarabine . prior chemotherapy or radiotherapy for lymphoma
__label__0,study interventions are Vidarabine . patients with active twond malignancies other than myelofibrosis aml excised skin cancer early stage cervical and prostate cancer
__label__0,study interventions are Estradiol . metastatic breast cancer diagnosis and international normalized ratio inr or prothrombin time pt less_than doc uln unless patient is receiving anticoagulant therapy as long as pt or ptt is within therapeutic range of intended use of anticoagulant
__label__1,study interventions are Fludarabine . stage ii childhood anaplastic large cell lymphoma diagnosis and donor
__label__1,study interventions are Paclitaxel . cancer that has spread to the brain
__label__1,study interventions are Metformin . ovarian undifferentiated adenocarcinoma diagnosis and history of allergic reactions attributed to compounds of similar chemical or biologic composition to metformin
__label__1,study interventions are Maleic acid . ovarian transitional cell carcinoma diagnosis and prior use of parp inhibitors
__label__1,study interventions are Sirolimus . adult anaplastic oligodendroglioma diagnosis and pregnant women are excluded from this study breastfeeding should be discontinued if the mother is treated with temsirolimus and perifosine
__label__1,study interventions are Cyclosporins . b cell lymphoma refractory diagnosis and fertile men or women unwilling to use contraceptive techniques during and for twelve months following treatment
__label__0,study interventions are Fosaprepitant . stage iia fallopian tube cancer diagnosis and patients who are able to complete the assessments
__label__0,study interventions are Liposomal doxorubicin . multiple myeloma diagnosis and sexually active males should be willing to use condom even if they have had prior vasectomy while having intercourse with any women during the course of the study start of therapy until thirty days after stem cell transplant
__label__1,study interventions are Pembrolizumab . breast cancer diagnosis and systemic fungal bacterial viral or other infection
__label__1,study interventions are Paclitaxel . stage iiia primary peritoneal cancer diagnosis and stage not greater than a grade one or two no more than superficial myometrial invasion without vascular or lymphatic invasion no poorly differentiated subtypes including papillary serous clear cell or other figo grade three lesions
__label__1,study interventions are Nivolumab . stage iii adrenal cortex carcinoma diagnosis and ongoing or active infection requiring systemic treatment
__label__0,study interventions are Immunoglobulin G . stage iia ovarian cancer diagnosis and regimens and ii
__label__0,study interventions are Cyclosporins . primary central nervous system non hodgkin lymphoma diagnosis and complete disappearance of all known disease with the exception of persistent scan abnormalities of unknown significance the term unconfirmed is defined as scan abnormalities of unknown significance that are not biopsied or otherwise evaluated
__label__0,study interventions are Lapatinib . recurrent squamous cell carcinoma of the paranasal sinus and nasal cavity diagnosis and at least one unidimensionally measurable lesion greater_than twenty mm by conventional techniques or greater_than one0 mm by spiral ct scan
__label__1,study interventions are Paclitaxel . ovarian serous cystadenocarcinoma diagnosis and patient with active pulmonary edema or pleural effusion
__label__1,study interventions are Fluorouracil . solid tumors diagnosis and major surgery within the four weeks preceding the start of treatment
__label__0,study interventions are Abiraterone Acetate . recurrent prostate cancer diagnosis and hepatic enzymes aspartate aminotransferase ast alanine aminotransferase alt equal_than less_than doc times the institutional uln
__label__1,study interventions are Obatoclax mesylate (GX15-070MS) . hodgkin lymphoma diagnosis and no other agents or therapies administered with the intent to treat malignancy
__label__0,study interventions are Gemcitabine . breast cancer diagnosis and no prior chemotherapy
__label__1,study interventions are Paclitaxel . fallopian tube carcinoma diagnosis and patient receiving concurrent additional biologic therapy
__label__1,study interventions are IV administration of gadolinium-containing contrast agent . adult gliosarcoma diagnosis and prisoners or other individuals deemed to be susceptible to coercion
__label__1,study interventions are Docetaxel . head and neck carcinoma diagnosis and has known history of human immunodeficiency virus hiv hiv one two antibodies
__label__0,study interventions are Interleukin-2 . anaplastic meningioma diagnosis and creatinine less_than doc
__label__0,study interventions are educational intervention . psychosocial effects of cancer and its treatment diagnosis and previously untreated disease receiving concurrent treatment previously treated disease or treatment status unknown
__label__0,study interventions are Cyclophosphamide . recurrent breast carcinoma diagnosis and estimated life expectancy greater_than equal_than eighty-four days three months
__label__1,study interventions are Cediranib . ovarian serous adenocarcinoma diagnosis and prior treatment affecting the vegf vegfr pathway or the angiopoietin pathway in the recurrent setting including but not limited to thalidomide bevacizumab sunitinib sorafenib pazopanib cediranib nintedanib and trebananib bevacizumab used in the upfront setting in conjunction with chemotherapy and or as maintenance to treat newly diagnosed disease will be allowed
__label__0,study interventions are Sirolimus . childhood diffuse large cell lymphoma diagnosis and must have less_than five marrow blasts at the time of transplant
__label__0,study interventions are Dexamethasone 21-phosphate . stage iii multiple myeloma diagnosis and psychiatric illness or social situation that would limit compliance with study requirements
__label__1,study interventions are Mycophenolate mofetil . recurrent adult grade iii lymphomatoid granulomatosis diagnosis and history of brain metastases
__label__1,study interventions are Hypofractionated whole breast radiation schedule . previous concomitant malignancies of any type except squamous or basal cell carcinomas of the skin or carcinoma fiin situ fr of the cervix which have been effectively treated
__label__1,study interventions are Doxorubicin . fallopian tube cancer diagnosis and mental condition that would prevent patient comprehension of the nature of and risk associated with the study
__label__1,study interventions are Cyclophosphamide . advanced or unresectable melanoma progressing after pdone blockade diagnosis and concomitant medical condition that in the opinion of the treating physician would pose unreasonable additional risk to therapeutic injection of oncos one02
__label__0,study interventions are Mycophenolate mofetil . noncontiguous stage ii adult diffuse mixed cell lymphoma diagnosis and myelodysplastic syndromes myeloproliferative disorders mds mpd
__label__0,study interventions are Lenalidomide . ds stage iii plasma cell myeloma diagnosis and patients must have baseline skeletal survey to include lateral skull anterior posterior ap pelvis and posterior anterior pa chest within twenty-eight days prior to registration
__label__0,study interventions are Levoleucovorin . esophageal cancer diagnosis and patient characteristics
__label__0,study interventions are Capecitabine . breast cancer diagnosis and no allergies to sulfa medication aspirin or other nonsteroidal anti inflammatory drugs nsaids
__label__1,"study interventions are Antibodies, Monoclonal . recurrent adult diffuse mixed cell lymphoma diagnosis and patients with bleeding diathesis clinical bleeding prothrombin time greater_than equal_than doc upper institutional normal value inr greater_than equal_than doc activated partial thromboplastin time aptt greater_than equal_than doc upper institutional normal value active gastric or duodenal ulcer"
__label__0,study interventions are Alvocidib . recurrent mantle cell lymphoma diagnosis and nodular sclerosing
__label__1,study interventions are The Gamma Pod . breast cancer diagnosis and regional nodal irradiation is part of the treatment plan
__label__1,study interventions are pharmacological study . recurrent adult grade iii lymphomatoid granulomatosis diagnosis and john wort modafinil oxcarbazepine
__label__1,"study interventions are Antibodies, Monoclonal . liver cancer diagnosis and anti coagulant therapy bleeding or clotting disorder"
__label__0,study interventions are Bevacizumab . neuroendocrine carcinoma diagnosis and myocardial infarction
__label__1,study interventions are Cyclosporins . recurrent marginal zone lymphoma diagnosis and disease resulting in severely limited performance status less_than seventy
__label__1,study interventions are Mycophenolic Acid . stage iii childhood anaplastic large cell lymphoma diagnosis and disease resulting in severely limited performance status less_than seventy
__label__1,study interventions are ChangTai Keli . colon cancer diagnosis and intentional severe liver and kidney disease patients with serious obstacle and function
__label__0,study interventions are Sunitinib . recurrent squamous cell carcinoma of the nasopharynx diagnosis and tipranavir
__label__1,study interventions are Fludarabine phosphate . stage ii childhood lymphoblastic lymphoma diagnosis and the addition of cytotoxic agents for cytoreduction with the exception of hydroxyurea and imatinib mesylate will not be allowed within two weeks of the initiation of conditioning
__label__1,study interventions are Octreotide . recurrent meningiomas diagnosis and uncontrolled diabetes mellitus defined by hbaonecgreater_than doc
__label__0,study interventions are Mycophenolic Acid . testicular lymphoma diagnosis and high risk all defined as
__label__1,study interventions are Belinostat . thymic carcinoma diagnosis and patients taking medications that may cause qtc prolongation will be eligible as long as they comply with the recommendations in appendix d
__label__1,study interventions are Cabozantinib S-malate . childhood clear cell sarcoma of soft parts diagnosis and patients must not be receiving any of the following potent cypthreeafour inducers or inhibitors
__label__1,study interventions are Lomustine . glioblastoma diagnosis and must not have received prior treatment except for surgical debulking of first relapse progression or recurrence of gbm
__label__0,study interventions are adjuvant therapy . brain and central nervous system tumors diagnosis and age
__label__1,study interventions are Doxorubicin . follicular lymphoma diagnosis and known infection with hbv hcv acute less_than six mos
__label__1,study interventions are Aldesleukin . stage iiia melanoma diagnosis and any non oncology vaccine therapy used for prevention of infectious diseases for up to one month before or after any dose of ipilimumab
__label__0,study interventions are Cabozantinib . refractory soft tissue sarcomas diagnosis and ability to understand and the willingness to sign written informed consent document
__label__0,study interventions are Albumin-Bound Paclitaxel . endometrial endometrioid adenocarcinoma variant with squamous differentiation diagnosis and sgot sgpt no greater than three times normal
__label__0,"study interventions are Hyperfractionated radiation therapy . adult glioblastoma diagnosis and anc greater_than one thousand, five hundred mm³ platelets greater_than one hundred zero mm³ hgb greater_than nine dl"
__label__1,study interventions are Pemetrexed . neoplasms lung diagnosis and patients who had resection and or completed course of cranial irradiation have no worsening cns symptoms and have discontinued all corticosteroids for that indication for at least one month
__label__0,study interventions are Thalidomide . relapsed multiple myeloma diagnosis and urine protein greater_than two hundred mg twenty-four hours
__label__1,study interventions are Nivolumab . non small cell lung cancer diagnosis and patients who have completed their participation in an interventional trial or who are not receiving study drug anymore and who are only followed up for overall survival can be enrolled
__label__1,study interventions are Gemcitabine . recurrent primary peritoneal carcinoma diagnosis and prior central thoracic radiation therapy rt including rt to the heart
__label__1,study interventions are Prednisolone hemisuccinate . cutaneous cell lymphoma diagnosis and mycosis_fungoides
__label__1,study interventions are PET/CT scan . esophageal cancer diagnosis and pregnant or lactating female
__label__0,study interventions are quality-of-life assessment . stage ia breast cancer diagnosis and not already classified as pr negative or peri menopausal
__label__1,study interventions are Hormones . prior prostate cancer surgery including but not limited to prostatectomy hyperthermia and cryosurgery
__label__1,study interventions are Everolimus . recurrent adult non hodgkin lymphoma diagnosis and down syndrome
__label__1,study interventions are Fludarabine phosphate . recurrent adult lymphoblastic lymphoma diagnosis and patients with life expectancy of less_than six months for reasons other than their underlying hematologic oncologic disorder
__label__1,study interventions are Doxorubicin . optic glioma diagnosis and arm a
__label__0,study interventions are Methylprednisolone . lymphoma diagnosis and prior concurrent therapy
__label__1,study interventions are Misonidazole . stage iv small cell lung carcinoma diagnosis and human immunodeficiency virus hiv positive patients on combination antiretroviral therapy are ineligible
__label__1,study interventions are Bevacizumab . solid cancers diagnosis and significant vascular disease within six months prior to the first dose of study treatment
__label__0,study interventions are Pembrolizumab . stage iiia gastric cancer diagnosis and note
__label__1,study interventions are Fluorouracil . adenocarcinoma of the colon diagnosis and subject has had major surgery within twenty-eight days of study day
__label__1,study interventions are quality-of-life assessment . stage iv squamous cell carcinoma of the nasopharynx diagnosis and contraindication to full course chemoradiotherapy
__label__1,study interventions are Rituximab . lymphoma diagnosis and patient has history of gastrointestinal surgery or other procedures that might in the opinion of the investigator interfere with the absorption or swallowing of the study drugs
__label__1,study interventions are Dacarbazine . pancreatic polypeptide tumor diagnosis and uncontrolled systemic fungal bacterial viral or other infection defined as exhibiting ongoing signs symptoms related to the infection and without improvement despite appropriate antibiotics or other treatment
__label__0,"study interventions are Antibodies, Monoclonal . ovarian mucinous cystadenocarcinoma diagnosis and the following histologic epithelial cell types are eligible"
__label__0,study interventions are Everolimus . stage ivc salivary gland cancer diagnosis and leukocytes greater_than equal_than three mm three
__label__1,study interventions are Paclitaxel . resectable pancreatic cancer diagnosis and participation in any investigational drug study within four weeks preceding the start of study treatment
__label__0,study interventions are Vaccinium myrtillus/Macleaya cordata/Echinacea angustifolia extract granules . stage iva verrucous carcinoma of the oral cavity diagnosis and patient or legal representative must understand the investigational nature of this study and sign an independent ethics committee institutional review board approved written informed consent form prior to receiving any study related procedure
__label__1,study interventions are Tremelimumab . refractory melanoma diagnosis and potential requirement for systemic corticosteroids
__label__1,study interventions are PF-299804 (Dacomitinib) . brain tumor recurrent diagnosis and congestive heart failure in the previous six months
__label__0,study interventions are Thalidomide . lymphoma diagnosis and no concurrent topical corticosteroids
__label__1,"study interventions are Antibodies, Monoclonal . metastatic solid tumors diagnosis and hcv tp or hiv antibody positive"
__label__0,study interventions are Bortezomib . recurrent adult cell leukemia lymphoma diagnosis and eastern cooperative oncology group ecog performance status equal_than less_than two
